2026-03-04 15:56:34,135 INFO    MainThread:5049 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_setup.py:_flush():81] Configure stats pid to 5049
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/ashishmeshram/Documents/IITM - ACADEMICS/SEM2/COURSES/DL/ASSIGNMENT1/da6401_assignment_1/wandb/run-20260304_155634-t98jmetj/logs/debug.log
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/ashishmeshram/Documents/IITM - ACADEMICS/SEM2/COURSES/DL/ASSIGNMENT1/da6401_assignment_1/wandb/run-20260304_155634-t98jmetj/logs/debug-internal.log
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_init.py:init():844] calling init triggers
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'dataset': 'mnist', 'epochs': 20, 'batch_size': 64, 'loss': 'cross_entropy', 'optimizer': 'rmsprop', 'learning_rate': 0.1, 'weight_decay': 0.0, 'num_layers': 2, 'hidden_size': [64, 64], 'activation': ['tanh', 'tanh'], 'weight_init': 'xavier', 'wandb_project': 'da6401_assignment_1', 'wandb_group': '2.5_Dead_Neurons', 'model_path': 'best_model.npy', 'config_path': 'best_config.json', '_wandb': {}}
2026-03-04 15:56:34,136 INFO    MainThread:5049 [wandb_init.py:init():892] starting backend
2026-03-04 15:56:34,569 INFO    MainThread:5049 [wandb_init.py:init():895] sending inform_init request
2026-03-04 15:56:34,586 INFO    MainThread:5049 [wandb_init.py:init():903] backend started and connected
2026-03-04 15:56:34,598 INFO    MainThread:5049 [wandb_init.py:init():973] updated telemetry
2026-03-04 15:56:34,599 INFO    MainThread:5049 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-04 15:56:35,628 INFO    MainThread:5049 [wandb_init.py:init():1042] starting run threads in backend
2026-03-04 15:56:35,703 INFO    MainThread:5049 [wandb_run.py:_console_start():2524] atexit reg
2026-03-04 15:56:35,703 INFO    MainThread:5049 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-04 15:56:35,703 INFO    MainThread:5049 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-04 15:56:35,703 INFO    MainThread:5049 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-04 15:56:35,704 INFO    MainThread:5049 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-04 15:56:36,492 INFO    wandb-AsyncioManager-main:5049 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-04 15:56:36,492 INFO    wandb-AsyncioManager-main:5049 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
