2026-03-03 18:12:14,946 INFO    Thread-70 (_run_job):75646 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_setup.py:_flush():81] Configure stats pid to 75646
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/ashishmeshram/Documents/IITM - ACADEMICS/SEM2/COURSES/DL/ASSIGNMENT1/da6401_assignment_1/wandb/run-20260303_181214-gd2up3ef/logs/debug.log
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/ashishmeshram/Documents/IITM - ACADEMICS/SEM2/COURSES/DL/ASSIGNMENT1/da6401_assignment_1/wandb/run-20260303_181214-gd2up3ef/logs/debug-internal.log
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():844] calling init triggers
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():849] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 64, 'dataset': 'mnist', 'epochs': 10, 'hidden_size': 128, 'learning_rate': 0.008827497013020137, 'loss': 'cross_entropy', 'num_layers': 2, 'optimizer': 'momentum', 'weight_decay': 1e-05, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2026-03-03 18:12:14,947 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():892] starting backend
2026-03-03 18:12:15,181 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():895] sending inform_init request
2026-03-03 18:12:15,184 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():903] backend started and connected
2026-03-03 18:12:15,185 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_config_callback():1403] config_cb None None {'activation': 'sigmoid', 'batch_size': 64, 'dataset': 'mnist', 'epochs': 10, 'hidden_size': 128, 'learning_rate': 0.008827497013020137, 'loss': 'cross_entropy', 'num_layers': 2, 'optimizer': 'momentum', 'weight_decay': 1e-05, 'weight_init': 'xavier'}
2026-03-03 18:12:15,191 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():973] updated telemetry
2026-03-03 18:12:15,193 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-03 18:12:16,130 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():1042] starting run threads in backend
2026-03-03 18:12:16,232 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_console_start():2524] atexit reg
2026-03-03 18:12:16,232 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-03 18:12:16,232 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-03 18:12:16,232 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-03 18:12:16,233 INFO    Thread-70 (_run_job):75646 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-03 18:12:26,726 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_finish():2291] finishing run ashishmeshram229-indian-institute-of-technology-madras/da6401_assignment_1/gd2up3ef
2026-03-03 18:12:26,726 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_atexit_cleanup():2490] got exitcode: 0
2026-03-03 18:12:26,726 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_restore():2472] restore
2026-03-03 18:12:26,726 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_restore():2478] restore done
2026-03-03 18:12:28,543 INFO    Thread-70 (_run_job):75646 [wandb_run.py:_footer_sync_info():3868] logging synced files
